,Name,Rating,Price,RAM,Display,Camera,Battery,Processor,Number of People Rated,Number of People Review
53,"Infinix Smart 7 HD (Ink Black, 64 GB)",4.3,"5,999",4,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"21,550",998
54,"POCO C31 (Shadow Gray, 64 GB)",4,"9,499",8,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"47,811","3,974"
55,"Infinix Smart 7 HD (Green Apple, 64 GB)",4.2,"5,999",8,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"73,251","4,349"
56,"MOTOROLA e13 (Cosmic Black, 64 GB)",4.2,"7,299",4,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"73,251","4,349"
57,"Infinix HOT 30i (Marigold, 128 GB)",4.2,"8,999",4,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"16,239",929
58,"Infinix HOT 30i (Diamond White, 128 GB)",4.2,"8,999",4,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G85 Processor,"16,239",929
59,"Infinix HOT 30i (Marigold, 64 GB)",4.2,"8,199",8,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,"8,989",917
60,"Infinix HOT 30i (Diamond White, 64 GB)",4.1,"8,199",4,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,"50,311","4,402"
61,"Infinix NOTE 12i (Metaverse Blue, 64 GB)",4.4,"9,499",4,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,"7,747",458
62,"MOTOROLA G32 (Mineral Gray, 128 GB)",4.2,"11,999",4,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"53,954","3,266"
63,"POCO M6 Pro 5G (Forest Green, 64 GB)",4.2,"10,999",4,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"16,239",929
64,"POCO C55 (Power Black, 64 GB)",4.2,"7,499",2,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"16,239",929
65,"Infinix HOT 30i (Mirror Black, 64 GB)",4,"8,199",4,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G85 Processor,"5,739",477
66,"Infinix HOT 30i (Glacier Blue, 64 GB)",4.2,"8,199",4,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,"8,989",917
67,"MOTOROLA e13 (Cosmic Black, 64 GB)",4.3,"5,999",4,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,"80,593","7,365"
68,"Infinix NOTE 12i (Alpine White, 64 GB)",4.2,"9,499",8,41.94 cm (16.51 cm) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor,"53,954","3,266"
